game_type,horizon_type,T,p,E_T,p_in_prompt,p_prompt,reasoning_mode,seed,player1,player2,round,answer1,answer2,points1,points2,total1,total2
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,1,J,F,0,10,0,10
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,2,F,F,5,5,5,15
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,3,F,F,5,5,10,20
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,4,F,J,10,0,20,20
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,5,F,F,5,5,25,25
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,6,J,F,0,10,25,35
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,7,F,F,5,5,30,40
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,8,F,F,5,5,35,45
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,9,F,F,5,5,40,50
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,10,F,F,5,5,45,55
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,11,F,F,5,5,50,60
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,12,F,F,5,5,55,65
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,13,F,F,5,5,60,70
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,14,F,F,5,5,65,75
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,15,F,F,5,5,70,80
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,16,F,F,5,5,75,85
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,17,F,F,5,5,80,90
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,18,F,F,5,5,85,95
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,19,F,F,5,5,90,100
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,20,F,F,5,5,95,105
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,21,F,F,5,5,100,110
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,22,F,F,5,5,105,115
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,23,F,F,5,5,110,120
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,24,F,F,5,5,115,125
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,25,F,F,5,5,120,130
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,26,F,F,5,5,125,135
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,27,F,F,5,5,130,140
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,28,F,F,5,5,135,145
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,29,F,F,5,5,140,150
PD,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,30,F,F,5,5,145,155
PD,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_openai_gpt,1,J,F,0,10,0,10
PD,fixed,30,,,True,0.3,baseline,1,act_deepseek,act_openai_gpt,2,F,F,5,5,5,15
