game_type,horizon_type,T,p,E_T,p_in_prompt,p_prompt,reasoning_mode,seed,player1,player2,round,answer1,answer2,points1,points2,total1,total2
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,1,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,2,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,3,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,4,J,F,0,0,0,0
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,5,J,J,10,7,10,7
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,6,J,J,10,7,20,14
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,7,J,J,10,7,30,21
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,8,J,J,10,7,40,28
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,9,F,J,0,0,40,28
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,10,J,F,0,0,40,28
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,11,F,J,0,0,40,28
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,12,F,F,7,10,47,38
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,13,F,J,0,0,47,38
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,14,F,F,7,10,54,48
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,15,F,J,0,0,54,48
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,16,F,F,7,10,61,58
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,17,F,J,0,0,61,58
BoS,fixed,30,,,True,0.3,baseline,0,act_deepseek,act_openai_gpt,18,F,F,7,10,68,68
