game_type,horizon_type,T,p,E_T,p_in_prompt,p_prompt,reasoning_mode,seed,player1,player2,round,answer1,answer2,points1,points2,total1,total2
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,1,J,F,0,10,0,10
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,2,J,J,8,8,8,18
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,3,J,J,8,8,16,26
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,4,J,F,0,10,16,36
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,5,J,F,0,10,16,46
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,6,F,J,10,0,26,46
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,7,F,F,5,5,31,51
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,8,J,F,0,10,31,61
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,9,F,F,5,5,36,66
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,10,F,F,5,5,41,71
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,11,F,F,5,5,46,76
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,12,F,F,5,5,51,81
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,13,F,F,5,5,56,86
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,14,F,F,5,5,61,91
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,15,F,F,5,5,66,96
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,16,F,F,5,5,71,101
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,17,F,F,5,5,76,106
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,18,F,F,5,5,81,111
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,19,F,J,10,0,91,111
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,20,F,J,10,0,101,111
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,21,F,F,5,5,106,116
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,22,F,J,10,0,116,116
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,23,J,F,0,10,116,126
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,24,F,F,5,5,121,131
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,25,F,F,5,5,126,136
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,26,F,F,5,5,131,141
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,27,F,F,5,5,136,146
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,28,F,F,5,5,141,151
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,29,F,F,5,5,146,156
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_openai_gpt,30,F,F,5,5,151,161
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,1,J,F,0,10,0,10
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,2,J,F,0,10,0,20
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,3,F,F,5,5,5,25
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,4,F,J,10,0,15,25
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,5,F,F,5,5,20,30
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,6,F,F,5,5,25,35
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,7,F,F,5,5,30,40
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,8,F,F,5,5,35,45
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,9,F,F,5,5,40,50
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,10,J,F,0,10,40,60
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,11,F,F,5,5,45,65
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,12,F,F,5,5,50,70
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,13,F,F,5,5,55,75
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,14,F,F,5,5,60,80
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,15,F,F,5,5,65,85
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,16,F,F,5,5,70,90
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,17,F,F,5,5,75,95
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,18,F,F,5,5,80,100
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,19,F,F,5,5,85,105
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,20,F,F,5,5,90,110
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,21,F,F,5,5,95,115
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,22,F,F,5,5,100,120
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,23,F,F,5,5,105,125
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,24,F,F,5,5,110,130
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,25,F,F,5,5,115,135
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,26,F,F,5,5,120,140
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,27,F,F,5,5,125,145
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,28,F,F,5,5,130,150
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,29,F,F,5,5,135,155
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_openai_gpt,30,F,J,10,0,145,155
PD,fixed,30,,,False,,baseline,2,act_deepseek,act_openai_gpt,1,J,J,8,8,8,8
PD,fixed,30,,,False,,baseline,2,act_deepseek,act_openai_gpt,2,J,J,8,8,16,16
PD,fixed,30,,,False,,baseline,2,act_deepseek,act_openai_gpt,3,J,J,8,8,24,24
PD,fixed,30,,,False,,baseline,2,act_deepseek,act_openai_gpt,4,J,J,8,8,32,32
PD,fixed,30,,,False,,baseline,2,act_deepseek,act_openai_gpt,5,J,J,8,8,40,40
PD,fixed,30,,,False,,baseline,2,act_deepseek,act_openai_gpt,6,J,J,8,8,48,48
PD,fixed,30,,,False,,baseline,2,act_deepseek,act_openai_gpt,7,J,J,8,8,56,56
