game_type,horizon_type,T,p,E_T,p_in_prompt,p_prompt,reasoning_mode,seed,player1,player2,round,answer1,answer2,points1,points2,total1,total2
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,1,J,F,0,10,0,10
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,2,F,J,10,0,10,10
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,3,J,F,0,10,10,20
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,4,F,F,5,5,15,25
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,5,F,J,10,0,25,25
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,6,F,F,5,5,30,30
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,7,F,F,5,5,35,35
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,8,F,F,5,5,40,40
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,9,F,F,5,5,45,45
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,10,F,F,5,5,50,50
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,11,F,F,5,5,55,55
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,12,F,F,5,5,60,60
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,13,F,F,5,5,65,65
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,14,F,F,5,5,70,70
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,15,F,F,5,5,75,75
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,16,F,F,5,5,80,80
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,17,F,F,5,5,85,85
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,18,F,F,5,5,90,90
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,19,F,F,5,5,95,95
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,20,F,F,5,5,100,100
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,21,F,F,5,5,105,105
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,22,F,F,5,5,110,110
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,23,F,F,5,5,115,115
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,24,F,F,5,5,120,120
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,25,F,F,5,5,125,125
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,26,F,F,5,5,130,130
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,27,F,F,5,5,135,135
PD,fixed,30,,,True,0.6,baseline,0,act_deepseek,act_openai_gpt,28,F,F,5,5,140,140
