game_type,horizon_type,T,p,E_T,p_in_prompt,p_prompt,reasoning_mode,seed,player1,player2,round,answer1,answer2,points1,points2,total1,total2
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,1,J,J,8,8,8,8
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,2,J,J,8,8,16,16
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,3,J,J,8,8,24,24
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,4,J,J,8,8,32,32
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,5,J,J,8,8,40,40
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,6,J,J,8,8,48,48
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,7,J,J,8,8,56,56
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,8,J,J,8,8,64,64
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,9,J,J,8,8,72,72
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,10,J,J,8,8,80,80
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,11,J,J,8,8,88,88
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,12,J,J,8,8,96,96
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,13,J,J,8,8,104,104
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,14,J,J,8,8,112,112
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,15,J,J,8,8,120,120
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,16,J,J,8,8,128,128
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,17,J,J,8,8,136,136
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,18,J,J,8,8,144,144
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,19,J,J,8,8,152,152
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,20,J,J,8,8,160,160
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,21,J,J,8,8,168,168
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,22,J,J,8,8,176,176
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,23,J,J,8,8,184,184
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,24,J,J,8,8,192,192
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,25,J,J,8,8,200,200
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,26,J,J,8,8,208,208
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,27,J,J,8,8,216,216
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,28,J,J,8,8,224,224
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,29,J,J,8,8,232,232
PD,fixed,30,,,False,,baseline,0,act_deepseek,act_kimi,30,J,J,8,8,240,240
PD,fixed,30,,,False,,baseline,1,act_deepseek,act_kimi,1,J,J,8,8,8,8
