game_type,horizon_type,T,p,E_T,p_in_prompt,p_prompt,reasoning_mode,seed,player1,player2,round,answer1,answer2,points1,points2,total1,total2
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,1,F,J,10,0,10,0
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,2,F,F,5,5,15,5
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,3,F,F,5,5,20,10
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,4,J,F,0,10,20,20
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,5,F,F,5,5,25,25
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,6,J,F,0,10,25,35
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,7,F,F,5,5,30,40
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,8,F,F,5,5,35,45
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,9,F,F,5,5,40,50
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,10,F,F,5,5,45,55
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,11,F,F,5,5,50,60
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,12,F,F,5,5,55,65
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,13,F,F,5,5,60,70
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,14,F,F,5,5,65,75
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,15,F,F,5,5,70,80
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,16,F,F,5,5,75,85
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,17,F,F,5,5,80,90
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,18,F,F,5,5,85,95
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,19,F,F,5,5,90,100
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,20,J,F,0,10,90,110
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,21,F,F,5,5,95,115
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,22,F,F,5,5,100,120
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,23,F,F,5,5,105,125
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,24,J,F,0,10,105,135
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,25,F,F,5,5,110,140
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,26,F,F,5,5,115,145
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,27,F,F,5,5,120,150
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,28,J,F,0,10,120,160
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,29,F,F,5,5,125,165
PD,fixed,30,,,False,,baseline,0,act_openai_gpt,act_kimi,30,F,F,5,5,130,170
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,1,J,J,8,8,8,8
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,2,F,J,10,0,18,8
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,3,J,F,0,10,18,18
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,4,F,F,5,5,23,23
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,5,F,J,10,0,33,23
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,6,F,F,5,5,38,28
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,7,F,F,5,5,43,33
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,8,F,F,5,5,48,38
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,9,J,F,0,10,48,48
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,10,F,F,5,5,53,53
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,11,F,F,5,5,58,58
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,12,F,F,5,5,63,63
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,13,F,F,5,5,68,68
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,14,F,F,5,5,73,73
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,15,F,F,5,5,78,78
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,16,F,F,5,5,83,83
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,17,F,F,5,5,88,88
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,18,F,F,5,5,93,93
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,19,F,F,5,5,98,98
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,20,F,F,5,5,103,103
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,21,F,F,5,5,108,108
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,22,F,F,5,5,113,113
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,23,F,F,5,5,118,118
PD,fixed,30,,,False,,baseline,1,act_openai_gpt,act_kimi,24,F,F,5,5,123,123
